food_name_clean,Descriptionen,Foodgroupen,NOVA_step1,Match_reason
oaty biscuit eg hob nob,Oaty biscuit (e.g. Hob nob),Sweet biscuits: excludes full coated biscuits,4.0,snack item
double cream,Double cream,"Cream: single, double whipping & sterilised canned cream (excludes artificial creams & toppings)",,
chocolate and nut spread eg nutella,Chocolate and nut spread (e.g Nutella),"Preserves and syrups: glace cherries, honey, jam, marmalade, lemon curd, marzipan, mincemeat, chocolate spread, ice cream topping",4.0,branded sweet spread
childrens' chewable vitamins with vitamin a 200ug c 40mg d 75ug e 6mg pastel,"Childrens' chewable vitamins with vitamin A (200ug), C (40mg), D (7.5ug), E (6mg), pastel",Misc,,
peas,Peas,"Peas: frozen, fresh, canned, dried & split",,
milk 1% fat,Milk 1% fat,Semi-skimmed milks: includes longlife semi-skimmed,,
potatoes,Potatoes,Other potatoes,,
white grapes,White Grapes,Fresh fruit,,
roast/grilled turkey breast,Roast/grilled turkey breast,Chicken/Turkey dishes,,
soft cheese fullfat eg philadelphia,"Soft cheese, full-fat (e.g. Philadelphia)",Processed cheese,,
apple juice drink ready to drink no added sugar,"Apple juice drink, ready to drink, no added sugar","Fruit drink, ready to drink (sweetened)e.g. sunny delight, umbongo, five alive",,
banana,Banana,Fresh fruit,,
baked potato / jacket potato skin eaten,"Baked potato / jacket potato, skin eaten",Jacket potatoes: baked in skins,,
rice cake,Rice cake,"Savoury biscuits and baked goods eg crackers, oatcakes, water biscuits, cheddars, cheese/savoury scones",,
cauliflower cooked,"Cauliflower, cooked","Other vegetables (excluding potato): carrots, green beans, pulses, cabbage, tomato base sauce, mushrooms, sweetcorn, stir fried vegetables, green salad",,
peas,Peas,"Peas: frozen, fresh, canned, dried & split",,
water from tap including hot water filtered water,"Water (from tap, including hot water, filtered water)",Water,1.0,water
peas,Peas,"Peas: frozen, fresh, canned, dried & split",,
gravy,Gravy,Gravy,,
broccoli boiled,"Broccoli, boiled","Other vegetables (excluding potato): carrots, green beans, pulses, cabbage, tomato base sauce, mushrooms, sweetcorn, stir fried vegetables, green salad",3.0,boiled or mashed
chocolate coated biscuit eg rocky bar club breakaway,"Chocolate coated biscuit (e.g. Rocky bar, Club, Breakaway)","Chocolate: includes all plain, milk & white chocolate bars & coated bars e.g. caramels & wafers and full coated chocolate biscuits",4.0,snack item
butter salted,"Butter, salted",Butter: includes half fat butter and other animal fats (e.g. lard),,
gravy,Gravy,Gravy,,
minced beef stewed,"Minced beef, stewed",Beef and beef dishes,,
whole milk,Whole milk,"Whole milks: includes longlife whole, dried whole & any soya or goats milk",1.0,plain dairy
whole milk,Whole milk,"Whole milks: includes longlife whole, dried whole & any soya or goats milk",1.0,plain dairy
water from tap including hot water filtered water,"Water (from tap, including hot water, filtered water)",Water,1.0,water
carrots,Carrots,"Other vegetables (excluding potato): carrots, green beans, pulses, cabbage, tomato base sauce, mushrooms, sweetcorn, stir fried vegetables, green salad",,
cheddar cheese,Cheddar cheese,"Other cheese: edam, cheddar",,
weetabix / wheat biscuits,Weetabix / Wheat biscuits,"Other breakfast cereals: muesli, bran flakes",4.0,snack item
carrots raw,"Carrots, raw","Other vegetables (excluding potato): carrots, green beans, pulses, cabbage, tomato base sauce, mushrooms, sweetcorn, stir fried vegetables, green salad",1.0,raw
