food_name_clean,Descriptionen,Foodgroupen,NOVA_step1,Match_reason,NOVA_step2,TFIDF_score,TFIDF_match_name,NOVA_final,Match_source
chocolate dairy dessert eg cadbury buttons/flake nestle rolo,"Chocolate dairy dessert, (e.g. Cadbury Buttons/Flake, Nestle Rolo)","Non milk based sweet puddings: (excluding yoghurts and canned/stewed fruits) e.g. meringue, cheesecake, gateaux, jelly, fruit pies (pastry), crumble",,,,0.4322398861443476,,,Unmatched
water from tap including hot water filtered water,"Water (from tap, including hot water, filtered water)",Water,1.0,water,,,,1.0,Keyword
cherry tomatoes,Cherry tomatoes,"Other vegetables (excluding potato): carrots, green beans, pulses, cabbage, tomato base sauce, mushrooms, sweetcorn, stir fried vegetables, green salad",,,,0.7897512336806207,,,Unmatched
semi skimmed milk,Semi skimmed milk,Semi-skimmed milks: includes longlife semi-skimmed,,,,0.8440107678550299,,,Unmatched
chocolate squares/pillows breakfast cereal supermarket brands,"Chocolate squares/pillows, breakfast cereal, supermarket brands","Other breakfast cereals: muesli, bran flakes",4.0,dessert/snack item,,,,4.0,Keyword
water from tap including hot water filtered water,"Water (from tap, including hot water, filtered water)",Water,1.0,water,,,,1.0,Keyword
apple skin eaten,"Apple, skin eaten",Fresh fruit,,,,0.5317520969272483,,,Unmatched
chicken curry home made,Chicken curry home made,Chicken/Turkey dishes,3.0,homemade item,,,,3.0,Keyword
milkshake made with whole milk vanilla,"Milkshake made with whole milk, vanilla","Milkshakes: includes purchased & made from powder mix, made with all milk types",4.0,dessert/snack item,,,,4.0,Keyword
rye bread / pumpernickel,Rye bread / pumpernickel,"Other breads <8g/100g fat: bagel, chapatis (made without fat), milk bread, grilled papadums, pitta, rye bread, soda, flour tortillas, crumpets",,,,0.7923568949401367,,,Unmatched
red/yellow/orange pepper cooked,"Red/yellow/orange pepper, cooked","Other vegetables (excluding potato): carrots, green beans, pulses, cabbage, tomato base sauce, mushrooms, sweetcorn, stir fried vegetables, green salad",,,,0.5283899402557095,,,Unmatched
tomato based sauce,Tomato based sauce,"Other vegetables (excluding potato): carrots, green beans, pulses, cabbage, tomato base sauce, mushrooms, sweetcorn, stir fried vegetables, green salad",,,,0.7992062755302379,,,Unmatched
strawberries,Strawberries,Fresh fruit,1.0,raw,,,,1.0,Keyword
rye bread / pumpernickel,Rye bread / pumpernickel,"Other breads <8g/100g fat: bagel, chapatis (made without fat), milk bread, grilled papadums, pitta, rye bread, soda, flour tortillas, crumpets",,,,0.7923568949401367,,,Unmatched
pain au chocolat/chocolate croissant,Pain au chocolat/chocolate croissant,"Cakes: sweet buns, sweet pastries, fruit scones and custard tart (sweet but not savoury based items)",,,4,0.9718705785327632,pain au chocolate chocolate croissant,4,TF-IDF
chocolate and nut spread eg nutella,Chocolate and nut spread (e.g Nutella),"Preserves and syrups: glace cherries, honey, jam, marmalade, lemon curd, marzipan, mincemeat, chocolate spread, ice cream topping",4.0,branded sweet spread,,,,4.0,Keyword
sour cream based dips reduced fat,"Sour cream based dips, reduced fat","Cream: single, double whipping & sterilised canned cream (excludes artificial creams & toppings)",,,,0.677218831052943,,,Unmatched
water from tap including hot water filtered water,"Water (from tap, including hot water, filtered water)",Water,1.0,water,,,,1.0,Keyword
onions cooked,"Onions, cooked","Other vegetables (excluding potato): carrots, green beans, pulses, cabbage, tomato base sauce, mushrooms, sweetcorn, stir fried vegetables, green salad",,,,0.6973157266499184,,,Unmatched
butter unsalted,"Butter, unsalted",Butter: includes half fat butter and other animal fats (e.g. lard),,,4,1.0,butter unsalted,4,TF-IDF
soft cheese fullfat eg philadelphia,"Soft cheese, full-fat (e.g. Philadelphia)",Processed cheese,,,,0.6602134382278845,,,Unmatched
cucumber,Cucumber,"Other vegetables (excluding potato): carrots, green beans, pulses, cabbage, tomato base sauce, mushrooms, sweetcorn, stir fried vegetables, green salad",,,,0.8439401505448992,,,Unmatched
ham smoked,"Ham, smoked",Bacon and ham,,,4,1.0,ham smoked,4,TF-IDF
semi skimmed milk boiled,"Semi skimmed milk, boiled",Semi-skimmed milks: includes longlife semi-skimmed,3.0,boiled or mashed,,,,3.0,Keyword
cheddar cheese,Cheddar cheese,"Other cheese: edam, cheddar",,,1,0.8735618583644809,cheddar cheese soup,1,TF-IDF
nesquik milkshake powder,Nesquik milkshake powder,"Milkshakes: includes purchased & made from powder mix, made with all milk types",4.0,dessert/snack item,,,,4.0,Keyword
water from tap including hot water filtered water,"Water (from tap, including hot water, filtered water)",Water,1.0,water,,,,1.0,Keyword
wrap/tortilla white,"Wrap/tortilla, white","Other breads <8g/100g fat: bagel, chapatis (made without fat), milk bread, grilled papadums, pitta, rye bread, soda, flour tortillas, crumpets",,,,0.6206111549079604,,,Unmatched
cherry tomatoes,Cherry tomatoes,"Other vegetables (excluding potato): carrots, green beans, pulses, cabbage, tomato base sauce, mushrooms, sweetcorn, stir fried vegetables, green salad",,,,0.7897512336806207,,,Unmatched
biscuits filled with cream eg bourbons fox's crunch creams,"Biscuits filled with cream (e.g. bourbons, Fox's crunch creams)",Sweet biscuits: excludes full coated biscuits,4.0,snack item,,,,4.0,Keyword
cucumber,Cucumber,"Other vegetables (excluding potato): carrots, green beans, pulses, cabbage, tomato base sauce, mushrooms, sweetcorn, stir fried vegetables, green salad",,,,0.8439401505448992,,,Unmatched
sweet or savoury pancake,Sweet or savoury pancake,"Other breads <8g/100g fat: bagel, chapatis (made without fat), milk bread, grilled papadums, pitta, rye bread, soda, flour tortillas, crumpets",,,,0.5228923508621676,,,Unmatched
mixed leaf salad no dressing,"Mixed leaf salad, no dressing","Other vegetables (excluding potato): carrots, green beans, pulses, cabbage, tomato base sauce, mushrooms, sweetcorn, stir fried vegetables, green salad",,,1,0.8542476461082669,mixed leaf salad,1,TF-IDF
chicken fajita including tortilla,Chicken fajita (including tortilla),Chicken/Turkey dishes,,,,0.6157750013679205,,,Unmatched
yoplait frubes/wildlife choobs,Yoplait Frubes/Wildlife Choobs,Low fat yoghurt/fromage frais,,,,0.7627054654831756,,,Unmatched
red grapes,Red grapes,Fresh fruit,,,,0.5426504058108859,,,Unmatched
water from tap including hot water filtered water,"Water (from tap, including hot water, filtered water)",Water,1.0,water,,,,1.0,Keyword
chocolate truffles/pralines,Chocolate truffles/pralines,"Sweets (non-chocolate): toffee, boiled sweets, gums/jellies, mints, liquorice, raw jelly, popcorn",,,4,0.93409636571378,chocolate truffles and pralines only,4,TF-IDF
water from tap including hot water filtered water,"Water (from tap, including hot water, filtered water)",Water,1.0,water,,,,1.0,Keyword
orange juice 100% fruit eg tropicana,"Orange juice, 100% fruit (e.g. Tropicana)",Fruit juices e.g. fresh orange juice,,,,0.5742520385666388,,,Unmatched
scotch pancake/drop scone,Scotch pancake/drop scone,"Cakes: sweet buns, sweet pastries, fruit scones and custard tart (sweet but not savoury based items)",,,,0.5009548947715398,,,Unmatched
chocolate and nut spread eg nutella,Chocolate and nut spread (e.g Nutella),"Preserves and syrups: glace cherries, honey, jam, marmalade, lemon curd, marzipan, mincemeat, chocolate spread, ice cream topping",4.0,branded sweet spread,,,,4.0,Keyword
yoplait frubes/wildlife choobs,Yoplait Frubes/Wildlife Choobs,Low fat yoghurt/fromage frais,,,,0.7627054654831756,,,Unmatched
iced biscuit eg iced gems,Iced biscuit (e.g. iced gems),Sweet biscuits: excludes full coated biscuits,4.0,snack item,,,,4.0,Keyword
cherry tomatoes,Cherry tomatoes,"Other vegetables (excluding potato): carrots, green beans, pulses, cabbage, tomato base sauce, mushrooms, sweetcorn, stir fried vegetables, green salad",,,,0.7897512336806207,,,Unmatched
water from tap including hot water filtered water,"Water (from tap, including hot water, filtered water)",Water,1.0,water,,,,1.0,Keyword
ham sandwich with wholemeal/oatmeal bread,Ham sandwich with wholemeal/oatmeal bread,"Cereal based savouries with vegetable or meat additions: bhajis, samosas, pakora, prawn toasts, spring rolls, meat filled spring roll",,,,0.6129735580878538,,,Unmatched
cucumber,Cucumber,"Other vegetables (excluding potato): carrots, green beans, pulses, cabbage, tomato base sauce, mushrooms, sweetcorn, stir fried vegetables, green salad",,,,0.8439401505448992,,,Unmatched
porridge made with semi skimmed milk,"Porridge, made with semi skimmed milk","Other breakfast cereals: muesli, bran flakes",,,,0.8319528857246238,,,Unmatched
mini sweetcorn babycorn raw,"Mini sweetcorn (babycorn), raw","Other vegetables (excluding potato): carrots, green beans, pulses, cabbage, tomato base sauce, mushrooms, sweetcorn, stir fried vegetables, green salad",1.0,raw,,,,1.0,Keyword
semi skimmed milk,Semi skimmed milk,Semi-skimmed milks: includes longlife semi-skimmed,,,,0.8440107678550299,,,Unmatched
chocolate and nut spread eg nutella,Chocolate and nut spread (e.g Nutella),"Preserves and syrups: glace cherries, honey, jam, marmalade, lemon curd, marzipan, mincemeat, chocolate spread, ice cream topping",4.0,branded sweet spread,,,,4.0,Keyword
cucumber,Cucumber,"Other vegetables (excluding potato): carrots, green beans, pulses, cabbage, tomato base sauce, mushrooms, sweetcorn, stir fried vegetables, green salad",,,,0.8439401505448992,,,Unmatched
apple skin eaten,"Apple, skin eaten",Fresh fruit,,,,0.5317520969272483,,,Unmatched
chocolate squares/pillows breakfast cereal supermarket brands,"Chocolate squares/pillows, breakfast cereal, supermarket brands","Other breakfast cereals: muesli, bran flakes",4.0,dessert/snack item,,,,4.0,Keyword
strawberries,Strawberries,Fresh fruit,1.0,raw,,,,1.0,Keyword
banana,Banana,Fresh fruit,,,4,0.894064151916772,banana cooked,4,TF-IDF
salami,Salami,Sausages,,,4,1.0,salami,4,TF-IDF
pasta with a vegetable based sauce,Pasta with a vegetable based sauce,Non meat based pasta dishes,,,,0.7754775573690791,,,Unmatched
water from tap including hot water filtered water,"Water (from tap, including hot water, filtered water)",Water,1.0,water,,,,1.0,Keyword
